,Score,Score,Score,Score,Score,Score,Score,Score
,count,mean,std,min,25%,50%,75%,max
Year,,,,,,,,
1995,40.0,-0.0028268217327359103,0.004618833079969964,-0.0143434343434343,-0.00509483010182315,-0.0022475108538840497,0.0,0.0054127198917456
1996,40.0,-0.00037744688188817764,0.0037851247428604177,-0.0095211425371044,-0.0027440885321205,-0.00056849664043315,0.002367459370820775,0.008780487804878
1997,40.0,-0.002058714547528695,0.004974282229007168,-0.0131319763624425,-0.005631739979486625,-0.00171310152619995,0.00058415209672605,0.0085106382978723
1998,40.0,-0.0010525288364323325,0.0047676101596691505,-0.0133102307631724,-0.003203625361815775,-0.00044202171787315005,0.000772875445650275,0.0084459459459459
1999,40.0,0.00033398829539272364,0.0056788322780170365,-0.0126182965299684,-0.0031400835425845,0.0,0.0038393859931531,0.0121404064396938
2000,40.0,-0.0008662621699813775,0.004434891756298914,-0.0084883612227727,-0.0040007233854438,-0.000799831824148,0.0027288991552868,0.0081699346405228
2001,40.0,-0.001829689596301565,0.007098355670732032,-0.0149523072956947,-0.0058199334483229,-0.00248020591444475,0.000761347427243275,0.0196531791907514
2002,40.0,-0.0013404963843573502,0.005602908736355008,-0.0150462962962962,-0.00475868383009455,0.0,0.0016363851312481,0.014367816091954
2003,40.0,0.000940918416431294,0.006787561528728039,-0.0121457489878542,-0.0027715204413542,0.0,0.005384895992398775,0.0171277997364953
2004,40.0,-6.287184535786502e-05,0.0046626682240147885,-0.0116279069767441,-0.00079004866994865,0.0,0.0012588121119338248,0.0115606936416184
2005,40.0,-0.00042907380009650747,0.005328270555905343,-0.0134474327628361,-0.003773632517642075,0.0,0.0,0.0145985401459854
2006,40.0,-0.00045409173505686005,0.0043715129632750475,-0.0126582278481012,-0.001758707679242675,0.0,0.0,0.0132743362831858
2007,40.0,-6.763782159575253e-05,0.004441971593280212,-0.0163265306122449,-0.0007674825235511999,0.0,0.0,0.0138400187661271
2008,40.0,-0.00023562111806689744,0.0025644785403378615,-0.0089686098654708,0.0,0.0,0.0,0.0058479532163742
2009,40.0,-0.0012851429176238126,0.005048019238660751,-0.0104493207941483,-0.003033556892653175,0.0,0.0,0.0175438596491228
2010,40.0,-0.0008724081508889049,0.004006216570199529,-0.0127970749542961,-0.00189974906110935,0.0,0.00020490207623835002,0.0073622793616903
2011,40.0,-0.00010630012387976995,0.004964218531379699,-0.0115240368223661,-0.00156144246411055,0.0,0.0,0.0159574468085106
2012,40.0,0.00043748215445840245,0.006165039880117204,-0.0128,-0.000192752505782575,0.0,0.0013245414802418001,0.0284951024042742
2013,40.0,-0.00031419285506019754,0.004793195905007539,-0.0108695652173913,-0.002186193961292025,0.0,0.0,0.016
2014,40.0,-0.0007988765583225726,0.004715195035404772,-0.012401352874859,-0.001919140557749075,0.0,0.0,0.0121681415929203
2015,40.0,0.0006116842977954477,0.006243636167051487,-0.0092062865785493,-0.0015682468545770252,0.0,0.0,0.025
2016,40.0,0.0002486295392615448,0.007335666726351301,-0.0139303482587064,-0.000123854347287575,0.0,0.0,0.0379746835443038
2017,40.0,-0.00040506984308644753,0.004376805779287447,-0.0118299445471349,-0.001553817076194175,0.0,0.0,0.0131233595800524
2018,40.0,0.0009775510270138873,0.006621553900281247,-0.0081709616593337,-0.0021746138639387753,0.0,0.0011630260331010498,0.0251572327044025
2019,40.0,-0.0012119487164143849,0.006512311959156329,-0.0256410256410256,-0.001999339900477275,0.0,0.000267665952890775,0.0189573459715639
2020,40.0,-0.001629465446622215,0.005185519127983215,-0.0262738853503184,-0.0021324428105336003,0.0,0.0,0.0052083333333333
2021,40.0,-0.00043181754813823145,0.005855003950747637,-0.0103234360941421,-0.00197137353722345,0.0,0.0,0.0268456375838926
